uri	record-title	dates	deathdate	birthdate	first-names	surname	entity type
https://archives.cjh.org/agents/people/13017	Abrahams, Joseph, 1749-1795 	 1749-1795 	1795	 1749	 Joseph	Abrahams	person
https://archives.cjh.org/agents/people/16978	Abrahams, Mordecai, approximately 1735-1800 	 approximately 1735-1800 	1800	 approximately 1735	 Mordecai	Abrahams	person
https://archives.cjh.org/agents/people/7502	Abrahams, Nyham 				 Nyham 	Abrahams	person
https://archives.cjh.org/agents/people/16480	Abrahams, Simeon, 1810-1867 	 1810-1867 	1867	 1810	 Simeon	Abrahams	person
https://archives.cjh.org/agents/people/17060	Abrahams, Solomon 				 Solomon 	Abrahams	person
https://archives.cjh.org/agents/people/123705	Abrahamsen, Samuel, 1917- 	 1917- 		 1917	 Samuel	Abrahamsen	person
https://archives.cjh.org/agents/people/12091	Abrahamson, Albert 				 Albert 	Abrahamson	person
https://archives.cjh.org/agents/people/116633	Abram, Morris B. 				 Morris B. 	Abram	person
https://archives.cjh.org/agents/people/116634	Abramovitch, Raphael R., 1880-1963  Dates: Existence: 1880 - 1963	 1880-1963  Dates: Existence: 1880 - 1963	1963	 1880	 Raphael R.	Abramovitch	person
https://archives.cjh.org/agents/people/120927	Abramow, A., 1893- 	 1893- 		 1893	 A.	Abramow	person
https://archives.cjh.org/agents/people/123706	Abramowicz, Dina 				 Dina 	Abramowicz	person
https://archives.cjh.org/agents/people/123707	Abramowicz, Hirsz, 1881-1960 	 1881-1960 	1960	 1881	 Hirsz	Abramowicz	person
https://archives.cjh.org/agents/people/123615	Abramowitz, Bina, 1865-1953 	 1865-1953 	1953	 1865	 Bina	Abramowitz	person
https://archives.cjh.org/agents/people/116635	Abrams, Ruth, 1912-1986 	 1912-1986 	1986	 1912	 Ruth	Abrams	person
https://archives.cjh.org/agents/people/18885	Abramson, Abraham, 1754-1811 	 1754-1811 	1811	 1754	 Abraham	Abramson	person
https://archives.cjh.org/agents/families/13106	Abramson  						family
https://archives.cjh.org/agents/families/13492	Abravanel  						family
https://archives.cjh.org/agents/people/116636	Abravanel, Isaac, 1437-1508  Dates: Existence: 1437 - 1508	 1437-1508  Dates: Existence: 1437 - 1508	1508	 1437	 Isaac	Abravanel	person
https://archives.cjh.org/agents/people/116189	Abrzycker, Abram 				 Abram 	Abrzycker	person
https://archives.cjh.org/agents/people/124338	Abt, Arthur, 1920-2017 	 1920-2017 	2017	 1920	 Arthur	Abt	person
https://archives.cjh.org/agents/people/124337	Abt, Jeffrey 				 Jeffrey 	Abt	person
https://archives.cjh.org/agents/people/124339	Abt, Lottie, 1921-2019 	 1921-2019 	2019	 1921	 Lottie	Abt	person
https://archives.cjh.org/agents/people/38373	Abusch-Magder, Ruth 				 Ruth 	Abusch-Magder	person
https://archives.cjh.org/agents/people/116637	Abzug, Bella S., 1920-1998 	 1920-1998 	1998	 1920	 Bella S.	Abzug	person
https://archives.cjh.org/agents/corporate_entities/36539	Academic Committee on Soviet Jewry 						Organization
https://archives.cjh.org/agents/people/116638	Acheson, Dean, 1893-1971  Dates: Existence: 1893 - 1971	 1893-1971  Dates: Existence: 1893 - 1971	1971	 1893	 Dean	Acheson	person
https://archives.cjh.org/agents/corporate_entities/36536	Achille Lauro (Ship) 						Organization
https://archives.cjh.org/agents/people/120961	Achron, Joseph, 1886-1943  Dates: Existence: 1886 - 1943	 1886-1943  Dates: Existence: 1886 - 1943	1943	 1886	 Joseph	Achron	person
https://archives.cjh.org/agents/families/13137	Achtentuch  						family
https://archives.cjh.org/agents/people/101717	Achtentuch, Herbert, 1922- 	 1922- 		 1922	 Herbert	Achtentuch	person
https://archives.cjh.org/agents/people/101718	Achtentuch, Hermann, 1887-1950 	 1887-1950 	1950	 1887	 Hermann	Achtentuch	person
https://archives.cjh.org/agents/people/101719	Achtentuch, Marion 				 Marion 	Achtentuch	person
https://archives.cjh.org/agents/people/101722	Achtentuch, Paula, 1899- 	 1899- 		 1899	 Paula	Achtentuch	person
https://archives.cjh.org/agents/people/62270	Achtnich, Martin, 1918-1996‏ 	 1918-1996‏ 	1996‏	 1918	 Martin	Achtnich	person
https://archives.cjh.org/agents/people/114669	Acker, Jesse 				 Jesse 	Acker	person
https://archives.cjh.org/agents/people/34983	Ackerman, Joel G. 				 Joel G. 	Ackerman	person
https://archives.cjh.org/agents/people/123732	Ackermann, Jürgen (1935-) 				 Jürgen (1935-) 	Ackermann	person
https://archives.cjh.org/agents/people/67241	Ackermann, Simon 				 Simon 	Ackermann	person
https://archives.cjh.org/agents/people/19694	Ackley, John K. (John Kenneth) 				 John K. (John Kenneth) 	Ackley	person
https://archives.cjh.org/agents/corporate_entities/15378	Action Central for Soviet Jewry 						Organization
https://archives.cjh.org/agents/corporate_entities/214	Action for Soviet Jewry 						Organization
https://archives.cjh.org/agents/corporate_entities/30692	Ad Hoc Student Committee to Free the Damascus Two 						Organization
https://archives.cjh.org/agents/corporate_entities/38151	Ada-Ada-Schuh-Aktiengesellschaft (Frankfurt, Main) 						Organization
https://archives.cjh.org/agents/people/116552	Adalbert Preußen, Prinz, 1884-1948 	 1884-1948 	1948	 1884	 Prinz	Adalbert Preußen	person
https://archives.cjh.org/agents/people/116190	Adamkiewicz, Albert 				 Albert 	Adamkiewicz	person
https://archives.cjh.org/agents/people/17510	Adams, Daniel, 1820-1872 	 1820-1872 	1872	 1820	 Daniel	Adams	person
https://archives.cjh.org/agents/people/116843	Adams, Hannah, 1755-1831 	 1755-1831 	1831	 1755	 Hannah	Adams	person
https://archives.cjh.org/agents/people/76392	Adams, Joan, 1932- 	 1932- 		 1932	 Joan	Adams	person
https://archives.cjh.org/agents/people/116654	Adams, John Quincy, 1767-1848  Dates: Existence: 1767 - 1848	 1767-1848  Dates: Existence: 1767 - 1848	1848	 1767	 John Quincy	Adams	person
https://archives.cjh.org/agents/corporate_entities/36545	Adass Jisroel (Berlin, Germany) 						Organization
https://archives.cjh.org/agents/corporate_entities/36546	Adath Jeshurun (Elkins Park, Pa.) 						Organization
https://archives.cjh.org/agents/corporate_entities/38563	Adath Morim K.U.V 						Organization
https://archives.cjh.org/agents/corporate_entities/28635	Adath Yeshuran Society (Syracuse, N.Y.) 						Organization
https://archives.cjh.org/agents/people/116837	Addams, Jane, 1860-1935  Dates: Existence: 1860 - 1935	 1860-1935  Dates: Existence: 1860 - 1935	1935	 1860	 Jane	Addams	person
https://archives.cjh.org/agents/people/123316	Adel, Bessie 				 Bessie 	Adel	person
https://archives.cjh.org/agents/families/13894	Adelberg  						family
https://archives.cjh.org/agents/corporate_entities/11881	Adelebsen Jewish community 						Organization
https://archives.cjh.org/agents/people/123616	Adelheim, Raphael, 1861-1938 	 1861-1938 	1938	 1861	 Raphael	Adelheim	person
https://archives.cjh.org/agents/corporate_entities/36625	Adelphi University 						Organization
https://archives.cjh.org/agents/corporate_entities/3389	Adelphic Society (Philadelphia, Pa.) 						Organization
https://archives.cjh.org/agents/families/10781	Adelsheimer  						family
https://archives.cjh.org/agents/people/116838	Adenauer, Konrad, 1876-1967  Dates: Existence: 1876 - 1967	 1876-1967  Dates: Existence: 1876 - 1967	1967	 1876	 Konrad	Adenauer	person
https://archives.cjh.org/agents/people/45216	Adler, Alexander, 1816-1869 	 1816-1869 	1869	 1816	 Alexander	Adler	person
https://archives.cjh.org/agents/people/116839	Adler, Alfred, 1870-1937  Dates: Existence: 1870 - 1937	 1870-1937  Dates: Existence: 1870 - 1937	1937	 1870	 Alfred	Adler	person
https://archives.cjh.org/agents/people/123617	Adler, Amelia, 1884-1962 	 1884-1962 	1962	 1884	 Amelia	Adler	person
https://archives.cjh.org/agents/people/77761	Adler, Bennie, 1894-1979 	 1894-1979 	1979	 1894	 Bennie	Adler	person
https://archives.cjh.org/agents/people/120447	Adler, Benny, 1886- 	 1886- 		 1886	 Benny	Adler	person
https://archives.cjh.org/agents/people/77762	Adler, Berthold, 1903-1999 	 1903-1999 	1999	 1903	 Berthold	Adler	person
https://archives.cjh.org/agents/people/116840	Adler, Celia, 1889-1979 	 1889-1979 	1979	 1889	 Celia	Adler	person
https://archives.cjh.org/agents/people/116841	Adler, Cyrus, 1863-1940  Dates: Existence: 1863 - 1940	 1863-1940  Dates: Existence: 1863 - 1940	1940	 1863	 Cyrus	Adler	person
https://archives.cjh.org/agents/people/31655	Adler, Dora 				 Dora 	Adler	person
https://archives.cjh.org/agents/people/116842	Adler, Ellen, 1927- 	 1927- 		 1927	 Ellen	Adler	person
https://archives.cjh.org/agents/people/110444	Adler, Erwin, 1903- 	 1903- 		 1903	 Erwin	Adler	person
https://archives.cjh.org/agents/people/67222	Adler, Evelyne 				 Evelyne 	Adler	person
https://archives.cjh.org/agents/families/13493	Adler  						family
https://archives.cjh.org/agents/people/116655	Adler, Felix, 1851-1933 	 1851-1933 	1933	 1851	 Felix	Adler	person
https://archives.cjh.org/agents/people/120962	Adler, Frances, 1891-1964 	 1891-1964 	1964	 1891	 Frances	Adler	person
https://archives.cjh.org/agents/people/116844	Adler, Frank J., 1923- 	 1923- 		 1923	 Frank J.	Adler	person
https://archives.cjh.org/agents/people/116845	Adler, Friedrich, 1879-1960 	 1879-1960 	1960	 1879	 Friedrich	Adler	person
https://archives.cjh.org/agents/people/116545	Adler, H. G.  Dates: Existence: 1910 - 1988				 H. G.  Dates: Existence: 1910 - 1988	Adler	person
https://archives.cjh.org/agents/people/48062	Adler, Hans 				 Hans 	Adler	person
https://archives.cjh.org/agents/people/116846	Adler, Hermann, 1839-1911 	 1839-1911 	1911	 1839	 Hermann	Adler	person
https://archives.cjh.org/agents/people/44288	Adler, Hertha 				 Hertha 	Adler	person
https://archives.cjh.org/agents/people/123749	Adler, Ilse 				 Ilse 	Adler	person
https://archives.cjh.org/agents/people/92123	Adler, Inge 				 Inge 	Adler	person
https://archives.cjh.org/agents/people/99903	Adler, Irene, 1898-1980 	 1898-1980 	1980	 1898	 Irene	Adler	person
https://archives.cjh.org/agents/people/77763	Adler, Irma, 1896-1919 	 1896-1919 	1919	 1896	 Irma	Adler	person
https://archives.cjh.org/agents/people/116652	Adler, Jacob P., 1855-1926  Dates: Existence: 1855 - 1926	 1855-1926  Dates: Existence: 1855 - 1926	1926	 1855	 Jacob P.	Adler	person
https://archives.cjh.org/agents/people/123800	Adler, Jay, 1896-1978  Dates: Existence: 1896-09-26 - 1978-09-23	 1896-1978  Dates: Existence: 1896-09-26 - 1978-09-23	1978	 1896	 Jay	Adler	person
https://archives.cjh.org/agents/people/44856	Adler, Josef, 1873-1925 	 1873-1925 	1925	 1873	 Josef	Adler	person
https://archives.cjh.org/agents/people/123328	Adler, Julia, 1899- 	 1899- 		 1899	 Julia	Adler	person
https://archives.cjh.org/agents/people/116233	Adler, Julius, 1880-1961 	 1880-1961 	1961	 1880	 Julius	Adler	person
https://archives.cjh.org/agents/people/116847	Adler, Karl, 1890-1973 	 1890-1973 	1973	 1890	 Karl	Adler	person
https://archives.cjh.org/agents/people/116848	Adler, Kurt, 1907-1977  Dates: Existence: 1907 - 1977	 1907-1977  Dates: Existence: 1907 - 1977	1977	 1907	 Kurt	Adler	person
https://archives.cjh.org/agents/people/46401	Adler, Leo, 1884-1966 	 1884-1966 	1966	 1884	 Leo	Adler	person
https://archives.cjh.org/agents/people/77760	Adler, Leopold, 1865-1906 	 1865-1906 	1906	 1865	 Leopold	Adler	person
https://archives.cjh.org/agents/people/121328	Adler, Louis 				 Louis 	Adler	person
https://archives.cjh.org/agents/people/123801	Adler, Luther, 1903-1984  Dates: Existence: 1903-05-04 - 1984-12-08	 1903-1984  Dates: Existence: 1903-05-04 - 1984-12-08	1984	 1903	 Luther	Adler	person
https://archives.cjh.org/agents/people/123802	Adler, Morris (19060330-1966)  Dates: Existence: 1906-03-30				 Morris (19060330-1966)  Dates: Existence: 1906-03-30	Adler	person
https://archives.cjh.org/agents/people/116849	Adler, Nathan Marcus, 1803-1890 	 1803-1890 	1890	 1803	 Nathan Marcus	Adler	person
https://archives.cjh.org/agents/people/25496	Adler, Norbert, 1891- 	 1891- 		 1891	 Norbert	Adler	person
https://archives.cjh.org/agents/corporate_entities/23770	Adler-&-Oppenheimer-Aktiengesellschaft (Berlin) 						Organization
https://archives.cjh.org/agents/people/123748	Adler, Oskar, 1910-1948 	 1910-1948 	1948	 1910	 Oskar	Adler	person
https://archives.cjh.org/agents/people/123747	Adler, Peter, 1931- 	 1931- 		 1931	 Peter	Adler	person
https://archives.cjh.org/agents/people/2943	Adler, Rachel Garfunkel 				 Rachel Garfunkel 	Adler	person
https://archives.cjh.org/agents/people/77764	Adler, Rose, 1898-1985 	 1898-1985 	1985	 1898	 Rose	Adler	person
https://archives.cjh.org/agents/people/116850	Adler-Rudel, S. (Shalom), 1894-1975 	 1894-1975 	1975	 1894	 S. (Shalom)	Adler-Rudel	person
https://archives.cjh.org/agents/people/120448	Adler, Sam, 1868-1925 	 1868-1925 	1925	 1868	 Sam	Adler	person
https://archives.cjh.org/agents/people/116851	Adler, Samuel, 1809-1891  Dates: Existence: 1809 - 1891	 1809-1891  Dates: Existence: 1809 - 1891	1891	 1809	 Samuel	Adler	person
https://archives.cjh.org/agents/people/320	Adler, Sarah, 1858-1953 	 1858-1953 	1953	 1858	 Sarah	Adler	person
https://archives.cjh.org/agents/people/116852	Adler, Selig, 1909-1984  Dates: Existence: 1909 - 1984	 1909-1984  Dates: Existence: 1909 - 1984	1984	 1909	 Selig	Adler	person
https://archives.cjh.org/agents/people/81815	Adler, Sidney 				 Sidney 	Adler	person
https://archives.cjh.org/agents/people/116853	Adler, Simon L. (Simon Louis), 1867-1934 	 1867-1934 	1934	 1867	 Simon L. (Simon Louis)	Adler	person
https://archives.cjh.org/agents/people/121329	Adler, Sophie 				 Sophie 	Adler	person
https://archives.cjh.org/agents/people/116854	Adler, Stella 				 Stella 	Adler	person
https://archives.cjh.org/agents/people/77765	Adler, Thekla, 1865-1952 	 1865-1952 	1952	 1865	 Thekla	Adler	person
https://archives.cjh.org/agents/people/123709	Adler, Y., 1874-1974 	 1874-1974 	1974	 1874	 Y.	Adler	person
https://archives.cjh.org/agents/corporate_entities/39858	Adler's Young Men Independent Association. No. 1 (New York, N.Y.) 						Organization
https://archives.cjh.org/agents/people/1	Administrator 					Administrator 	person
https://archives.cjh.org/agents/corporate_entities/36626	Adolf Busch Chamber Orchestra 						Organization
https://archives.cjh.org/agents/corporate_entities/28247	Adolph Fiegel Papierfabrik 						Organization
https://archives.cjh.org/agents/corporate_entities/38523	Adolph Ullman Aid Society 						Organization
https://archives.cjh.org/agents/people/116855	Adorno, Theodor W., 1903-1969  Dates: Existence: 1903 - 1969	 1903-1969  Dates: Existence: 1903 - 1969	1969	 1903	 Theodor W.	Adorno	person
https://archives.cjh.org/agents/corporate_entities/30693	Advisory Board for Jewish Student Activities (Philadelphia) 						Organization
https://archives.cjh.org/agents/corporate_entities/36627	AEG-Telefunken 						Organization
https://archives.cjh.org/agents/corporate_entities/36547	AFL-CIO 						Organization
https://archives.cjh.org/agents/people/123618	Agadati, Baruch, 1895-1976  Dates: Existence: 1895-02-18 - 1976-01-18	 1895-1976  Dates: Existence: 1895-02-18 - 1976-01-18	1976	 1895	 Baruch	Agadati	person
https://archives.cjh.org/agents/people/116856	Agel, Jerome 				 Jerome 	Agel	person
https://archives.cjh.org/agents/corporate_entities/36628	Agfa Ansco (Firm)  Dates: Existence: 1928 - 1943						Organization
https://archives.cjh.org/agents/people/116858	Agnon, Shmuel Yosef, 1887-1970  Dates: Existence: 1887 - 1970	 1887-1970  Dates: Existence: 1887 - 1970	1970	 1887	 Shmuel Yosef	Agnon	person
https://archives.cjh.org/agents/people/116860	Agnos, Art 				 Art 	Agnos	person
https://archives.cjh.org/agents/people/16472	Agriss, Leon 				 Leon 	Agriss	person
https://archives.cjh.org/agents/people/114352	Agron, Ethel, 1895-1973 	 1895-1973 	1973	 1895	 Ethel	Agron	person
https://archives.cjh.org/agents/corporate_entities/36548	Agudah Yiśreʼelit lemaʻan Yehude Etyopyah 						Organization
https://archives.cjh.org/agents/corporate_entities/39339	Agudas Achim Aid Society (New York, N.Y.) 						Organization
https://archives.cjh.org/agents/corporate_entities/39871	Agudas Achim Anshe Sfard of East Flatbush 						Organization
https://archives.cjh.org/agents/corporate_entities/15318	Agudas Achim B’nai Zvi Nachem Anshe Lubtz 						Organization
https://archives.cjh.org/agents/corporate_entities/9801	Agudas Israel 						Organization
https://archives.cjh.org/agents/corporate_entities/38763	Agudat Israel 						Organization
https://archives.cjh.org/agents/corporate_entities/39896	Agudath Achim Anshei Borisoff 						Organization
https://archives.cjh.org/agents/corporate_entities/36629	Aguilar Free Library (New York, N.Y.) 						Organization
https://archives.cjh.org/agents/corporate_entities/40107	Ahad Ha'am School (Brooklyn, New York, N.Y.) 						Organization
https://archives.cjh.org/agents/people/116864	Aharoni, Ada 				 Ada 	Aharoni	person
https://archives.cjh.org/agents/corporate_entities/39743	Ahavath Shulem Society of Spring Valley, N.Y. 						Organization
https://archives.cjh.org/agents/families/275	Ahlfeld  						family
https://archives.cjh.org/agents/people/23631	Ahlfeld, Joseph, 1781-1843 	 1781-1843 	1843	 1781	 Joseph	Ahlfeld	person
https://archives.cjh.org/agents/people/94170	Ahlften, J. von 				 J. von 	Ahlften	person
https://archives.cjh.org/agents/people/116865	Ahmed, Sultan of the Turks, III, 1673-1736 	 III		 III	 Sultan of the Turks	Ahmed	person
https://archives.cjh.org/agents/people/116866	Ahrens, Erich, 1905-1977 	 1905-1977 	1977	 1905	 Erich	Ahrens	person
https://archives.cjh.org/agents/people/116191	Aich, Johann Albert, 1882-1943 	 1882-1943 	1943	 1882	 Johann Albert	Aich	person
https://archives.cjh.org/agents/people/16988	Aidline-Trommer, Elbert 				 Elbert 	Aidline-Trommer	person
https://archives.cjh.org/agents/people/116859	Aiken, George D. (George David), 1892-1984  Dates: Existence: 1892 - 1984	 1892-1984  Dates: Existence: 1892 - 1984	1984	 1892	 George D. (George David)	Aiken	person
https://archives.cjh.org/agents/people/122463	Ain, Abraham 				 Abraham 	Ain	person
https://archives.cjh.org/agents/people/95006	Ainstain, Baruch Moyses 				 Baruch Moyses 	Ainstain	person
https://archives.cjh.org/agents/corporate_entities/31673	Airflow Mattress Company 						Organization
https://archives.cjh.org/agents/people/20424	Aizenberg, Lev 				 Lev 	Aizenberg	person
https://archives.cjh.org/agents/people/120926	Ajzenberg, Aron, 1892- 	 1892- 		 1892	 Aron	Ajzenberg	person
https://archives.cjh.org/agents/people/120925	Ajzenberg, Majer, 1894- 	 1894- 		 1894	 Majer	Ajzenberg	person
https://archives.cjh.org/agents/people/120924	Ajzenberg, Naomi 				 Naomi 	Ajzenberg	person
https://archives.cjh.org/agents/corporate_entities/36630	Akademie der Künste (Berlin, Germany) 						Organization
https://archives.cjh.org/agents/corporate_entities/36631	Akademie für die Wissenschaft des Judentums (Germany) 						Organization
https://archives.cjh.org/agents/corporate_entities/36632	Akademii︠a︡ nauk Ukraïny  Dates: Existence: 1991 - 1993						Organization
https://archives.cjh.org/agents/corporate_entities/13660	Akademischer Verein für Naturwissenschaft und Medizin an der Universität Berlin 						Organization
https://archives.cjh.org/agents/people/116656	Akselʹrod, P. B. (Pavel Borisovich), 1850-1928  Dates: Existence: 1850 - 1928	 1850-1928  Dates: Existence: 1850 - 1928	1928	 1850	 P. B. (Pavel Borisovich)	Akselʹrod	person
https://archives.cjh.org/agents/corporate_entities/36406	Aktion Gildemeester 						Organization
https://archives.cjh.org/agents/corporate_entities/36633	Aktion T4 (Germany) 						Organization
https://archives.cjh.org/agents/corporate_entities/36634	Al Glaser's Bucovinaer Kapelle 						Organization
https://archives.cjh.org/agents/corporate_entities/8151	Alabama Council to Save Soviet Jews 						Organization
https://archives.cjh.org/agents/people/123486	Albam, Yefim Khayim, 1880- 	 1880- 		 1880	 Yefim Khayim	Albam	person
https://archives.cjh.org/agents/corporate_entities/40054	Albany and Schenectady Railroad Company 						Organization
https://archives.cjh.org/agents/corporate_entities/36635	Albert Einstein College of Medicine 						Organization
https://archives.cjh.org/agents/corporate_entities/36636	Albert Einstein Medical Center 						Organization
https://archives.cjh.org/agents/people/116867	Albert, Eugen d', 1864-1932  Dates: Existence: 1864 - 1932	 1864-1932  Dates: Existence: 1864 - 1932	1932	 1864	 Eugen d'	Albert	person
https://archives.cjh.org/agents/people/116869	Albert, Marv 				 Marv 	Albert	person
https://archives.cjh.org/agents/people/116868	Albert, Prince of Monaco, II, 1958- 	 II		 II	 Prince of Monaco	Albert	person
https://archives.cjh.org/agents/families/13494	Albrecht  						family
https://archives.cjh.org/agents/people/60531	Albrecht, M.O. 				 M.O. 	Albrecht	person
https://archives.cjh.org/agents/people/116870	Albright, Madeleine Korbel 				 Madeleine Korbel 	Albright	person
https://archives.cjh.org/agents/people/123803	Aldanov, Mark Aleksandrovich, 1886-1957  Dates: Existence: 1886-11-07 - 1957-02-25	 1886-1957  Dates: Existence: 1886-11-07 - 1957-02-25	1957	 1886	 Mark Aleksandrovich	Aldanov	person
https://archives.cjh.org/agents/people/122107	Aldeborgh, David 				 David 	Aldeborgh	person
https://archives.cjh.org/agents/people/48446	Alderman, Harry 				 Harry 	Alderman	person
https://archives.cjh.org/agents/people/116053	Aldor, Ernst, 1904- 	 1904- 		 1904	 Ernst	Aldor	person
https://archives.cjh.org/agents/people/116054	Aldor, Renee, 1900-1995 	 1900-1995 	1995	 1900	 Renee	Aldor	person
https://archives.cjh.org/agents/people/121141	Aleh-Leaf, Noami, 1914-2022 	 1914-2022 	2022	 1914	 Noami	Aleh-Leaf	person
https://archives.cjh.org/agents/people/120965	Aleksandrovich, Mikhail 				 Mikhail 	Aleksandrovich	person
https://archives.cjh.org/agents/corporate_entities/6576	Aleph Beth Club (St. Paul, Minn.) 						Organization
https://archives.cjh.org/agents/corporate_entities/36638	ALEPH (Philadelphia, Pa.) 						Organization
https://archives.cjh.org/agents/corporate_entities/15366	Aleph Yod Heh 						Organization
https://archives.cjh.org/agents/people/17119	Alexander, B. 				 B. 	Alexander	person
https://archives.cjh.org/agents/people/124219	Alexander, Eleanor, 1913-2009 	 1913-2009 	2009	 1913	 Eleanor	Alexander	person
https://archives.cjh.org/agents/people/116076	Alexander, Eleanor E. 				 Eleanor E. 	Alexander	person
https://archives.cjh.org/agents/people/116871	Alexander, Eleanor, (Translator) 	 (Translator) 		 (Translator) 	 Eleanor	Alexander	person
https://archives.cjh.org/agents/people/116872	Alexander, Emperor of Russia, II, 1818-1881  Dates: Existence: 1818 - 1881	 II		 II	 Emperor of Russia	Alexander	person
https://archives.cjh.org/agents/people/116873	Alexander, Emperor of Russia, III, 1845-1894  Dates: Existence: 1845 - 1894	 III		 III	 Emperor of Russia	Alexander	person
https://archives.cjh.org/agents/people/80044	Alexander, Ernst 				 Ernst 	Alexander	person
