001,008,094,100,110,245,260,264,300,520,545,546,610,650,651,655,SHL,856
"000412766","120501s1947\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 13","1\$aRosenthal, Hugo,$d1887-1980.",,"00$aLandschulheim Herrlingen Collection$f1933-1947",,,"\\$a2$ffolders","2\$aThis collection contains various materials pertaining to the Jewish boarding school (""Landschulheim Herrlingen""). Included are mimeographed publications of the school. Also included are two typed manuscripts by its last director Hugo Rosenthal (Josef Jashuvi) - memoirs and an article about Otto Hirsch's contribution to the founding of the boarding school in Herrlingen -, and transcripts of his correspondence with Leo Baeck and Otto Hirsch.","\\$aThe Landschulheim Herrlingen was founded by Anna Essinger. The German teacher, Hugo Rosenthal (1887-1980), who had lived in Haifa since 1924, returned to Germany in 1929, and took on the responsibility as director of the school in 1933 turning it into a specific Jewish institution. The school existed until 1939.",,,"\0$aJewish educators.;\0$aJews$xEducation$y1933-1945.","\0$aHerrlingen (Blaustein, Germany)","\7$aArchival materials$2cjh;\7$aManuscripts;\7$aPublications;\7$aCorrespondence$2cjh;\7$aAutobiographies$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttps://archives.cjh.org/repositories/5/resources/19988"
"000412767","120501s1956\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 14","1\$aJoseph, Marianne$d1889-",,"10$aHerkunft und Erziehung.","\\$aJerusalem,$c1956.",,"\\$a6$fpages :$btypescript.","2\$aIn this memoir Marianne Joseph describes her childhood and upbringing in Breslau and Hamburg in the late 19th and early 20th century.","\\$aMarianne Joseph was born in Breslau in 1889. She later moved with her family to Hamburg where she spent most of her childhood.",,,"\0$aEducation$zGermany$y1871-1918.;\0$aChildren.;\0$aJewish families$xGermany.","\0$aBreslau (Germany);\0$aHamburg (Germany)","\7$aManuscripts$2cjh;\7$aAutobiographies$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6270857"
"000412768","120501s1996\\\\is\\\\\\\\\\\\\\\\\\heb\d","\\$aLBIJER 15","1\$aGinsburg, Simḥa$q(Siegmar)$d1892-1956",,"10$atoldot mishpahat ginsburg :$bbe-meshekh ke-arba me'ot ve-ḥamishim shana /$cme-to'arot al yadei zigmar ginsburg.","\\$aTel Aviv,$c1996.",,"\\$a66$fpages :$bprinted; illustrated.","2\$aGenealogy of the Ginsburg family, originally from the area of Ulm, Germany, reaching back to the 16th century.",,,,"\0$aJews, German$vGenealogy.;\7$aJewish families$zGermany$2LBI",,"\7$aManuscripts$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6270870"
"000412769","120501s1836\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 16","1\$aKaliphari, Salomon$d(1780-1863)",,"10$aMein Lebensbild im Anschluss an sieben Ahnenbilder /$cdargestellt von Salomon Kaliphari, gen. Posner, und aus dem Hebraeischen uebertragen von seinem Enkelsohne Dr. Moritz Landsberg, Rabbiner zu Liegnitz.","\\$aPosen,$c1836.",,"\\$a1$ffolder","2\$aThe folder contains two copies of the same text, a bound printed version in German script and a typescript, presumably a transcribed version of the prior.;2\$aSalomon Kaliphari (1780-1863) recalls the story of his family in a self-portrait and portraits of seven ancestors reaching back to the 16th century when his family emigrated from Spain to Poland. Most of his ancestors lived in Posen and the surrounding area as merchants and Talmud scholars.;2\$aThe text also contains an obituary for Jakob Kalphary, an excerpt from Joseph Landsberg's will, and a family tree.;2\$aIt was translated from Hebrew by Salomon Kaliphari's grandson Rabbi Moritz Landsberg.","\\$aSalomon Kaliphari, a merchant from Posen, was born in 1780 and died in 1863.",,,"\0$aOrthodox Judaism.;\0$aJews$vGenealogy.;\0$aSephardim.","\0$aPosen (Germany)","\7$aArchival materials$2cjh;\7$aManuscripts$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269397"
"000412770","120501s1981\\\\is\\\\\\\\\\\\\\\\\\eng\d","\\$aLBIJER 17","1\$aLewin, Daniel",,"10$aThe Lewin - Steinberger Saga /$cby Rabbi Dr. Daniel Lewin.","\\$aMontreal, Quebec.,$c1981.",,"\\$a50 + 4$fpages :$btypescript (photocopied).","2\$aDaniel Lewin gives detailed record of his family history which can be traced back to 15th century Germany. In short biographies he describes the lives of individual members belonging to the Lewin, Alexander, Fraenkel, Rosenstein and Ashkenazi families. For instance, it includes a biography of Daniel Lewin's father, the rabbi Louis Lewin (1868-1941).;2\$aIt also contains a description of Daniel's wife Inez Lewin's (née Steinberger) family history (Steinberger, Gins, and other families).;2\$aAlso included is a family tree of both the Lewin and Steinberger family.","\\$aDaniel Lewin emigrated to Canada from Poland in 1948 and eventually became a rabbi in Montreal, Quebec. Most branches of the Lewin and Steinberger family stemmed from Germany and Austria. One of the more outstanding family members was rabbi Louis Lewin (father of Daniel), who was born in Posen in 1868. He studied history at the University of Berlin and attended the rabbinical seminary in Berlin founded by Esriel Hildesheimer. Louis Lewin served as a rabbi in Pinne, Kattowitz, and at the Jewish Theological Seminary in Breslau. In early 1939, he emigrated to Israel and died shortly thereafter, in 1941.",,,"\0$aJews$zGermany$vGenealogy.",,"\7$aArchival materials$2cjh;\7$aManuscripts$2cjh;\7$aGenealogical tables$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6269953"
"CJH01000000000000000412771","120501i18551952is\\\\\\\\\\\\\\\\\\|||\d","\\$aLBIJER 18",,,"10$aLask Family Collection.$f1855-1952",,,"\\$a17$ffolders","2\$aThe collection consists of materials pertaining to the Lask family, in particular to the fancy goods business (Galanterie- und Luxuswarengeschaeft) ""Michael Lask"" in Kiel (founded in 1869, and forced out of business and sold in 1938).;2\$aSeries I contains business materials including correspondence with clients primarily belonging to the Prussian Marine Corps and the Prussian nobility and various business partners (files 1, 2, and 3) covering the years 1870 to 1937, and extensive materials (mostly correspondence) pertaining to Heinrich, Prince of Prussia and Grand Admiral of the Imperial Prussian Army (1862-1929), and his nephew Adalbert, Prince of Prussia (1884-1948) and their families (1878-1948) (file 4). Furthermore, the series contains various official documents pertaining to Michael and Julius Lask and especially the inception of the business in 1869 (e.g. Michael Lask's ""Buergerbrief"" and other documents by the municipality of Kiel granting him a trading license, and the registration of the business in the companies register), notes, circulars, cards, and clippings pertaining to the business including a typescript presumably by Gustav Lask on the history of the business and materials which document the business being taken over by a new owner under the National Socialist regime in 1938 (files 5-8).;2\$aThe collection contains a considerable amount of materials pertaining to the Prussian Marine Corps, whose members belonged partly to the Lask's most important clients (e.g. correspondence, business cards, photographs, and clippings) (files 9-11).;2\$aSeries II contains personal materials of the Lask (and Lewysohn) family (files 12-17) consisting of correspondence (including a letter from Michael Lask to his family partly in Judeo-German), photographs (of family members as well as the family business), obituaries and letters of condolences following Michael Lask's death in 1929 (file 15), and especially materials pertaining to Gustav Lask and his family (notebooks, address book, poems, correspondence especially with daughter Ilse Radday-Warburg (files 16 and 17)).;2\$aThe collection was given to the Leo Baeck Institute Jerusalem by Ilse Radday-Warburg née Lask (Haifa).","\\$aThe fancy goods business (""Galanterie-, Luxus- und Kurzwarengeschaeft"" selling goods such as silverware, porcelain, intarsia, later also lamps and art objects) was established in Kiel by Michael Lask (1836-1929) in 1869. In 1887 Julius (1842-1900), Michael's younger brother, joined the business. During these years the Imperial Prussian Marine Corps became the main client of the Lask company strengthening also the ties to the Imperial Prussian family which culminated in the appointment as official purveyor of Prince Heinrich of Prussia and his family in 1897. In 1908, Julius' son Gustav (1875- ) became a partner, his wife Johanna Lask née Hoffmann joining the company shortly thereafter. The company was harshly affected by the inflation during the 1920s, and the reduction of the Marine Corps after the First World War having to downsize the business in 1931. In 1938 under the National Socialist government in the course of the so-called ""Aryanisation"" the Lask family was forced to sell the company to Ulrich von Roemer, losing their remaining properties in 1939.;\\$aMichael Lask was born in Schocken (Posen) in 1836, settled in Briesen (Western Prussia) and became a citizen of Kiel in 1869. He was the founder of the ""Galanterie- und Luxuswarengeschaeft"" (fancy good store) ""Michael Lask"". He died in Kiel in 1929. Michael was the son of Ludwig Lewysohn's sister Renathe Lask (née Lewysohn) ( -1880) and brother of Julius Lask (1842-1900), co-owner of the business since 1887.;\\$aGustav Lask was born in Kiel 1875. He joined the Lask business in 1908, his wife Johanna Lask née Hoffmann twelve years later in 1920. After the pogrom on November 9, 1938 and afte being forced to sell his business Gustav emigrated to England and settled in London. He was the son of Julius Lask and Natalie Lask (née Lewysohn), daughter of Ludwig Lewysohn, brother of Rosa Goldmann (married to Georg Goldmann (1875- )) and Julian Ludwig Lask, and father of Ilse Radday-Warburg née Lask ( -1987), who emigrated to Palestine and settled in Haifa.;\\$aLudwig Lewysohn was born in Schwersenz (Posen) in 1819. As rabbi he served congregations in Worms and Stockholm, where he died in 1901. He was the uncle of Michael and Julius Lask and father of Natalie, Julius' wife.","\\$aGerman, English, Judeo-German",,"\0$aFamily-owned business enterprises.;\0$aJewish families.;\0$aJews$xMigrations.;\0$aPrussia$xNobility.;\0$aMarines.","\0$aKiel (Germany)","\7$aArchival materials$2cjh;\7$aCorrespondence$2cjh;\7$aManuscripts$2cjh;\7$aClippings$2cjh;\7$aNotebooks$2cjh;\7$aFinding aids$2cjh;\7$aPhotographs.","\\$aLBI Jerusalem Archives","41$aDigital form$uhttps://archives.cjh.org/repositories/5/resources/19925"
"000412772","120501p1937\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 19",,"2\$aDr. Moritz Loevinson Familienstiftung","10$aBlaetter der Erinnerung an Dr. Moritz Loevinson zum 50.Todestage, 17. Mai 1937 /$cGesammelt von den derzeitigen Kuratoren der Dr. Moritz Loevinson Familienstiftung, Heinrich Hersch, Johanna Meyer née Loevinson, Dr. Kaethe Loevinson.",,,"\\$a29 + 1$fpages :$btypescript (bound)+$e4 photographs","2\$aThis text presents various materials pertaining to Moritz Loevinson (1820-1887) collected and printed by the Moritz Loevinson family foundation in commemoration of the 50th anniversary of his death. It contains several texts by Moritz Loevinson himself: extracts from letters to his younger brother Siegfried (1829-1907) written during the early 1840s, two articles for the ""Zeitung fuer die elegante Welt"" from 1842, one of them dealing with anti-Semitism in German society particularly in the Prussian army, and several poems.;2\$aFurthermore, short memoirs about Moritz Loevinson are included written by his nephews and niece Martin Loevinson (1859-1930), Emil Loevinson (1860- ), Johanna Meyer née Loevinson (1874-1958), and Heinrich Hersch (1861-1938).;2\$aAttached is an extract from Moritz Loevinson's will and statutes of the family foundation. Several photographs and an obituary of Moritz Levinson are added.","\\$aMoritz Loevinson was born in Danzig in 1820. He worked as a physician in Berlin. Despite anti-Semitic resentments and resistance Loevinson served for several years in the Prussian army. He died in Berlin in 1887.",,"27$aLoevinson family$2LBI","\0$aJews$zGermany$vBiography.;\0$aAntisemitism.","\0$aBerlin (Germany)","\7$aArchival materials$2cjh;\7$aManuscripts$2cjh;\7$aPhotographs.;\7$aClippings$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6434798"
"000412773","120501b\\\\\\\\is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 20","1\$aMakower, Hermann",,"10$aHermann Makower Collection.$fundated",,,"\\$a1$ffolder","2\$aThis collection contains four typescripts titled ""Jugenderinnerungen des Justizrats Hermann Makower"" (2 typescripts consisting of 17 pp., one of 13 pp., and one abridged version of 5 pp.), in which Hermann Makower describes his childhood and upbringing in Santomysl (Posen) and education in Berlin in the mid-19th century. He tells about his father, a merchant, who came from an orthodox family in Russia, but was liberal-minded. By him Hermann was sent to a French Gymnasium in Berlin to provide him with a good (secular) education. Makower became an excellent student. He describes his life in Berlin, his relationship to other students including the friendship with his classmate Siegmund Joel Meyer, son of Joel Wolff Meyer, who belonged to one of the richest Jewish families in Berlin.;2\$aIn addition, the collection contains a typescript titled ""Aus Kleinstadt-Leben in Calau, Cottbuserstr. 16. Betr. Justizrat Makower. (Eigentum von Ernst Bull)"" (8 pp.) without a mentioned author, but obviously written by Felix Makower (1863-1933), the son of Hermann Makower, about the life of his father. He describes his father's time in the German army and especially his professional life as lawyer in Eberswalde and mostly in Berlin as judge of the municipal court, furthermore, his work for various clients, and his professional contacts (e.g. with Prussian minister of justice, Heinrich von Friedberg). Felix Makower also mentions his father's work for the Jewish community.;2\$aThis typescript seems to be the abridged version of an originally longer version.","\\$aJustizrat Hermann Makower was born in Santomysl (Posen; today Zaniemysl, Poland) in 1830. He attended high school (Gymnasium) and studied law in Berlin. In 1857 he became a judge at the municipal court of Berlin being the first Jew in this position, and a few years later joining the ""Kammergericht"" (supreme court) of Berlin as notary. From 1866 to 1892 he attended the assembly of representatives of the Jewish community serving for several years as its chairman. He died in Berlin in 1897.;\\$aFelix Makower was born in 1863 as son of Hermann Makower. He was a lawyer in Berlin and a co-founder of the ""Verband der deutschen Juden"" and its last president. Between 1924 and 1927 he was a member of the executive board of the Berlin Jewish community. He died in 1933 in Berlin.",,,"\0$aOrthodox Judaism.;\0$aSoldiers.;\0$aLawyers$zGermany.;\0$aJews$zGermany$zBerlin.;\0$aJewish communities$zGermany$zPrussia.","\7$aSantomysl (Posen)$2LBI;\0$aBerlin (Germany);\7$aCalau$2Viaf","\7$aArchival materials$2cjh;\0$aAutobiographies$2cjh;\0$aBiographical sources$2cjh;\7$aManuscripts$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6434416"
"CJH01000000000000000412774","120501i18911980is\\\\\\\\\\\\\\\\\\|||\d","\\$aLBIJER 21","1\$aMikha'el, Moshe Yosef",,"10$aMichael Family Collection.$f1891-1980",,,"\\$a11$ffolders.","2\$aThis collection consists of various materials pertaining to the Michael family in particular to Jacob Joseph Michael's (1882- ) efforts to write a family history covering the years 1600 to 1951.;2\$aSeries I contains the correspondence of Jacob Joseph Michael with members of various branches of the Michael family collecting information for his family research (folder 1 and 2), private family correspondence (partly with photographs from Palestine during the 1950s) and manuscripts (including songs and poems partly with children's drawings) (folder 3), a family history including a long autobiographical section by Moshe Yosef Mikha'el (1887- ) (bound typescript, 23 pages, Hebrew) (folder 4), various photographs of gravestones, and clippings mostly about members of the Michael and Mainz family, in particular about the painter Max Michael (1823-1891) (folders 5 and 6).;2\$aSeries II contains various drafts and notes by Jacob Joseph Michael in preparation for his family history based on a text by Rabbi Eduard Duckesz (1868-1944) from Hamburg-Altona (""Geschichte der Familie Michael"", 1920). It mostly consists of short biographies of single members of the Michael family. A special focus lies on the family branches Hess (originally from Luebeck) and Mainz (originally from Frankfurt a. M.).","\\$aThe Michael family can be traced back to 17th century Hamburg-Altona. Many of its members were merchants and bankers and played a significant role in the life of the Ashkenazi Jewish community of Hamburg-Altona. Family relations exist with the Mainz family from Frankfurt a.M. and the Hess family from Luebeck.;\\$aMoshe Yosef Mikha'el, a physician, was born in Hamburg in 1887 and emigrated to Palestine in 1933.;\\$aJacob Joseph Michael, a business man, was born in Hamburg in 1882. He emigrated to the USA in 1939 and settled in Los Angeles.","\\$aGerman, English, Hebrew, and Portuguese",,"\0$aJewish families$vGenealogy.","\0$aHamburg-Altona (Hamburg, Germany);\0$aFrankfurt am Main (Germany)","\7$aArchival materials$2cjh;\7$aCorrespondence$2cjh;\7$aManuscripts$2cjh;\7$aClippings$2cjh;\7$aPhotographs.;\0$aGenealogical tables$2cjh;\7$aFinding aids$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttps://archives.cjh.org/repositories/5/resources/19927"
"000412775","120501i18821885is\\\\\\\\\\\\\\\\\\ger\d","\\$aLBIJER 22","1\$aLoewe, Moses$d1809-",,"10$aErinnerungen /$cvon Moses Loewe. Usch / Prov. Posen. Urgroßvater von Elisabeth Weiler.",,,"\\$a38$fpages :$btypescript (bound).","2\$aThese childhood memoirs of Moses Loewe (1809- ) were written between August 1, 1882 and May 19, 1885. Loewe depicts rural Jewish life in the province of Posen during the 1810s and 1820s mainly by telling anecdotes of Jewish family celebrations such as weddings, circumcisions and funerals.;2\$aAccording to the attached English summary the typescript is a copy of the original manuscript transcribed by Loewe's great-granddaughter Elisabeth Weiler née Leibholz.","\\$aMoses Loewe was born in Usch (Posen) in 1809.",,,"\0$aCountry life.;\0$aJewish marriage customs and rites.;\0$aJewish way of life.;\0$aJudaism$xCustoms and practices.;\0$aCircumcision.;\0$aJewish funeral rites and ceremonies.","\7$aUjście$2Viaf","\7$aArchival materials$2cjh;\7$aManuscripts$2cjh;\7$aBiographical sources$2cjh;\7$aAutobiographies$2cjh","\\$aLBI Jerusalem Archives","41$aDigital form$uhttp://digipres.cjh.org:1801/delivery/DeliveryManagerServlet?dps_pid=IE6434842"
